id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
327,"The sailors realized too late that winds had shifted the ice in such a way as to obstruct the ship’s path; this process had been so _______ that it was completed by the time they discovered the effect.",gradual,negligible,unpredictable,time-consuming,inconsequential,imperceptible,gradual,imperceptible,gradual,imperceptible
328,"What makes the precisely oriented flight of a honeybee swarm to its new home so _______ is that only a small percentage of its members know the swarm's travel route and final destination.",exact,unpredictable,amazing,erratic,reliable,wondrous,amazing,wondrous,amazing,wondrous
329,"As clucks of disapproval about Americans’ political _______ have grown louder in recent years, many historians have looked for contrast to the decades before the Civil War as a time when Americans were enthusiastically engaged in politics.",zealotry,apathy,hypocrisy,partisanship,insincerity,passivity,apathy,passivity,apathy,passivity
330,"The latest publications predicting disastrous coastal erosion are unlikely to _______ knowledgeable readers because variations on the same claims have been effectively refuted in the past few years.",intrigue,reassure,baffle,alarm,unsettle,calm,alarm,unsettle,alarm,unsettle
331,"Some social insects, such as bees and ants, are celebrated for their industriousness and engineering feats, but popular culture has not generally _______ termites for theirs—even though they can build mounds twenty feet high.",considered,reprehended,applauded,deprecated,exonerated,extolled,applauded,extolled,applaud,extol
332,"Because the organization often trumpeted itself as a forum for _______ discussion, visitors were startled by the frequently heated tone of its recent debates.",elevated,vigorous,temperate,strenuous,dispassionate,strident,temperate,dispassionate,temperate,dispassionate
333,"In science, replicability comes with the idea that the pursuit of scientific truth should not be _______: researchers who make claims must allow others to test them empirically.",incomplete,settled,private,unfinished,insular,unerring,private,insular,private,insular
334,"Even the most hard-nosed critics could hardly deny that the novelist’s best books are _______: they are filled with energy, imagination, and something close to a white-hot inspiration.",inventive,engaging,spirited,compassionate,vigorous,warmhearted,spirited,vigorous,spirited,vigorous
335,"Liam Clancy described the young Bob Dylan as a sponge, eagerly absorbing the possibilities life and culture might provide, and Dylan presents himself as _______ in his intellectual and musical curiosity.",insatiable,devious,unique,pretentious,voracious,cunning,insatiable,voracious,insatiable,voracious
336,"The Red Sea town of Aydhab presents scholars with _______: medieval records describe it as a major port for ships engaged in trade, yet today there is no trace of a viable harbor at the site.",an illusion,a contradiction,a chimera,a puzzle,an anachronism,a conundrum,a puzzle,a conundrum,puzzle,conundrum
337,"It is normal for artists who achieve great acclaim during their lifetimes to be considered _______ shortly after their deaths, only to have their reputations restored by subsequent generations.",sacrosanct,outmoded,overrated,canonical,unfashionable,emblematic,outmoded,unfashionable,outmoded,unfashionable
338,"Human perception is not a direct consequence of reality but rather requires imagination, because the data that people encounter in their lives are never complete and always _______.",equivocal,ambiguous,apparent,clear,transient,contradictory,equivocal,ambiguous,equivocal,ambiguous
339,"Susanne Prediger argues that although rational decimals and fractions are mathematically equivalent, students generally deal with them in _______ ways, hence they are not cognitively equivalent.",variable,divergent,unique,cursory,dissimilar,superficial,divergent,dissimilar,divergent,dissimilar
340,"Although Lemettais was _______ computer engineering, he lacked the spirit or enthusiasm to pursue it as a lifelong occupation.",fanatical about,adept at,indifferent to,diligent regarding,proficient in,apathetic about,adept at,proficient in,adept,proficient
341,"When it comes to arriving at brilliant ideas, filtering out distractions might well be _______: if a person’s mind is wandering, that person tends to outperform peers in a range of tasks in which flashes of insight are important.",indispensable,irrelevant,overrated,imperative,deleterious,counterproductive,deleterious,counterproductive,deleterious,counterproductive
342,"Matsui is an extremely _______ political tactician, as she generally will withhold her support for a political faction or a policy until she is confident it will prevail.",successful,dogmatic,shrewd,flexible,canny,rigid,shrewd,canny,shrewd,canny
343,"There is ample evidence that men and women think, express themselves, and even experience emotions differently, but in the area of sensory perception, psychologists are hard-pressed to identify major _______.",difficulties,innovations,discrepancies,challenges,incongruities,trends,discrepancies,incongruities,discrepancy,incongruity
344,"Robbins’ accomplishment is not _______ one: her book makes the topic accessible to a general audience while still providing the sort of analysis that scholars demand.",a trivial,a fascinating,a questionable,an insignificant,an intriguing,an amusing,a trivial,an insignificant,trivial,insignificant
345,"Precipitation is not _______ in the Atacama Desert west of the Andes Mountains, and water scarcity is compounded by problems with water appropriation; the existence of agro-pastoralists is in jeopardy.",regular,negligible,evident,consistent,insignificant,abundant,regular,consistent,regular,consistent
